Player,Passes Made,Passes Received,Centrality
8,1.0,1.0416666666666665,0.4703637156631696
120,1.0,1.3383699633699633,0.45047589845331004
797,0.9999999999999999,1.1538461538461537,0.41815142838804875
710,1.0,1.1986263736263736,0.4027392227139295
452,1.0,2.563095238095238,0.35194225755167086
966,1.0,0.7685897435897435,0.20467561096393613
93,0.0,0.41025641025641024,0.1777131023446045
962,0.9999999999999998,0.5269230769230769,0.16020730299642863
933,1.0,0.8447802197802197,0.11151033718492351
36,1.0,0.15384615384615385,0.057806582441610965
597,1.0,0.0,-1.383523331045134e-16
